127.0.0.1 - - [08/Oct/2025:13:34:36 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [08/Oct/2025:13:34:36 +0530] "GET /Dynamic-Web-Project/ HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [08/Oct/2025:13:34:36 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [08/Oct/2025:13:35:46 +0530] "GET /Dynamic-Web-Project/UserRegistrationView.jsp HTTP/1.1" 200 1734
0:0:0:0:0:0:0:1 - - [08/Oct/2025:13:36:03 +0530] "POST /Dynamic-Web-Project/UserRegistrationCtl HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [08/Oct/2025:13:36:08 +0530] "GET /Dynamic-Web-Project/LoginCtl HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [08/Oct/2025:13:36:15 +0530] "POST /Dynamic-Web-Project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Oct/2025:13:36:15 +0530] "GET /Dynamic-Web-Project/WelcomeCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Oct/2025:13:36:15 +0530] "GET /Dynamic-Web-Project/Welcome.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [08/Oct/2025:13:36:18 +0530] "GET /Dynamic-Web-Project/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Oct/2025:13:36:18 +0530] "GET /Dynamic-Web-Project/UserView.jsp HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [08/Oct/2025:13:36:30 +0530] "POST /Dynamic-Web-Project/UserCtl HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [08/Oct/2025:13:37:44 +0530] "POST /Dynamic-Web-Project/UserRegistrationCtl HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [08/Oct/2025:13:38:01 +0530] "GET /Dynamic-Web-Project/UserListCtl HTTP/1.1" 200 3901
0:0:0:0:0:0:0:1 - - [08/Oct/2025:13:38:31 +0530] "POST /Dynamic-Web-Project/UserListCtl HTTP/1.1" 200 3963
0:0:0:0:0:0:0:1 - - [08/Oct/2025:13:39:04 +0530] "GET /Dynamic-Web-Project/LoginCtl?operation=logout HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [08/Oct/2025:13:39:06 +0530] "GET /Dynamic-Web-Project/LoginCtl HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [08/Oct/2025:13:39:11 +0530] "POST /Dynamic-Web-Project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Oct/2025:13:39:11 +0530] "GET /Dynamic-Web-Project/WelcomeCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Oct/2025:13:39:11 +0530] "GET /Dynamic-Web-Project/Welcome.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [08/Oct/2025:22:13:18 +0530] "GET /Dynamic-Web-Project/Welcome.jsp HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [08/Oct/2025:22:13:21 +0530] "GET /Dynamic-Web-Project/LoginCtl HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [08/Oct/2025:22:13:29 +0530] "POST /Dynamic-Web-Project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Oct/2025:22:13:29 +0530] "GET /Dynamic-Web-Project/WelcomeCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Oct/2025:22:13:29 +0530] "GET /Dynamic-Web-Project/Welcome.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [08/Oct/2025:22:14:09 +0530] "GET /Dynamic-Web-Project/LoginCtl?operation=logout HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [08/Oct/2025:22:14:12 +0530] "POST /Dynamic-Web-Project/LoginCtl HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [08/Oct/2025:22:14:14 +0530] "POST /Dynamic-Web-Project/LoginCtl HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [08/Oct/2025:22:14:14 +0530] "POST /Dynamic-Web-Project/LoginCtl HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [08/Oct/2025:22:14:15 +0530] "POST /Dynamic-Web-Project/LoginCtl HTTP/1.1" 200 1379
